key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,year,month,day,day_of_week,is_weekend,haversine_distance_in_km,driving_distance_in_km,driving_duration_in_mins
2014-03-27 21:17:01.0000002,5.5,2014-03-27 21:17:01+00:00,-73.964382,40.760738,-73.970213,40.749573,1,21,2014,3,27,3,0,1.335113927690536,1.7789000000000001,4.201666666666666
2009-01-03 10:22:50.0000002,4.9,2009-01-03 10:22:50+00:00,-73.966678,40.76702,-73.953155,40.765144,1,10,2009,1,3,5,1,1.1578133458680464,1.4826,3.35
2014-11-23 20:47:42.0000001,7.5,2014-11-23 20:47:42+00:00,-73.960708,40.761284,-73.956305,40.780605,1,20,2014,11,23,6,1,2.1801579059549407,2.779,5.888333333333334
2010-07-17 08:29:56.0000002,7.3,2010-07-17 08:29:56+00:00,-73.776759,40.645103,-73.789754,40.646753,1,8,2010,7,17,5,1,1.1116216651185318,3.2714000000000003,6.026666666666667
2012-09-15 19:00:57.0000004,13.5,2012-09-15 19:00:57+00:00,-74.001806,40.730617,-73.988265,40.762934,2,19,2012,9,15,5,1,3.7701952849372704,5.107399999999999,10.045
2014-11-01 09:05:00.00000095,10.0,2014-11-01 09:05:00+00:00,-73.986782,40.721332,-73.994697,40.740407,1,9,2014,11,1,5,1,2.22342548055854,2.8465,6.506666666666666
2013-07-11 19:24:00.000000224,5.5,2013-07-11 19:24:00+00:00,-73.985995,40.758192,-73.991185,40.750185,1,19,2013,7,11,3,0,0.9918740532329421,2.0387,3.2416666666666667
2011-05-06 06:42:00.000000107,2.9,2011-05-06 06:42:00+00:00,-73.979482,40.73982,-73.98296,40.734808,1,6,2011,5,6,4,0,0.629652225872767,0.6462,1.4516666666666667
2010-12-04 13:56:01.0000003,7.7,2010-12-04 13:56:01+00:00,-73.995688,40.72168,-74.002861,40.70646,1,13,2010,12,4,5,1,1.797127476678774,2.0585999999999998,4.486666666666666
2013-05-11 12:21:07.0000002,7.0,2013-05-11 12:21:07+00:00,-73.963129,40.77256,-73.973822,40.764412,1,12,2013,5,11,5,1,1.2774057639675367,1.5989,3.7583333333333333
